GISJOIN,total,white,black,amin,asian,nhpi,other,tworaces,nohisp,hisp,over25,highschool,ged,collegelt1,collegegt1,assocdeg,bachdeg,mastersdeg,profdeg,doctoraldeg,povlthalf,povbtnhalfone,povover2,over16,inlabforce,notinlabforce
G37005,752439,595471,110492,2843,11304,767,17422,14140,680861,71578,514731,122928,24850,31314,76272,47995,86090,33968,8591,6491,58843,71273,443440,46116,611574,253517
G37006,762671,545708,154587,2825,13282,388,29056,16825,687094,75577,525199,124202,28784,34030,81496,51059,83749,30966,7010,6243,47696,68484,470740,49242,610513,237674
G37007,787034,585710,150804,6479,6704,361,18839,18137,712936,74098,547475,129668,25870,39781,82068,56699,92965,33318,7336,5042,63784,79225,464533,47599,639878,269263
G37008,779035,517813,179941,9165,18402,1206,25089,27419,699719,79316,512270,114644,22516,37372,91914,54293,88712,34742,6427,4657,48397,65123,485678,52011,610752,223240
G37009,779186,510016,148449,61473,21713,281,18117,19137,716559,62627,517552,111043,17490,28136,77435,44118,114884,43901,11052,4881,51297,61568,516612,58791,607300,238471
G37010,753325,610290,90964,2596,12845,237,20960,15433,705210,48115,529678,128421,29266,37427,78199,54570,84177,32082,7134,4491,46183,64336,459254,47761,612484,244485
G37011,752316,678821,24266,11739,8646,708,14584,13552,705660,46656,547099,125737,31584,37381,83001,55631,86797,37107,8232,6052,43960,67490,458665,46044,624407,276836
G37012,847254,404047,315059,3054,48379,566,50924,25225,722060,125194,559285,92954,13519,29188,89081,45506,150091,58061,10771,5637,53076,67769,553267,58604,663443,183108
G37013,771529,536594,170240,3320,26545,371,17172,17287,711001,60528,524385,120615,22604,34741,81822,49719,99399,36423,7626,5872,50558,67475,476328,50489,621444,232527
G38000,752201,655268,20445,39462,10814,378,7528,18306,725672,26529,490233,113235,18029,30831,79736,67212,105552,26902,6962,4980,39838,39432,541011,63473,595742,177138
G39001,737765,522962,160513,722,26092,185,7726,19565,714759,23006,487364,121587,17637,27928,63694,42176,105212,47236,9457,6857,52219,55589,499874,58727,578824,200095
G39002,728702,632066,63345,1258,10775,480,3563,17215,713291,15411,505076,136453,21231,31985,62415,42042,96589,45061,10740,6851,44218,53223,500132,57316,580906,212644
G39003,785158,433894,262599,1662,33517,471,16956,36059,732321,52837,501872,128851,20419,32242,79415,37388,93944,35734,7448,4980,78666,89151,432298,47009,611157,193122
G39004,711251,640999,37134,1790,6606,181,5616,18925,685334,25917,486401,176182,24420,36922,66157,48155,55197,25016,4241,2399,41036,48628,468284,53746,570652,218538
G39005,722734,662586,20536,1366,9836,386,10783,17241,685908,36826,488109,157310,16273,33765,65689,49858,78891,37420,7857,5382,34131,41561,514319,58998,580239,200095
G39006,700099,665597,15832,1224,3139,75,2239,11993,691850,8249,497634,195798,21101,32557,59893,48662,50560,23441,3903,2493,45429,63795,431804,47533,571248,253818
G39007,726547,671081,29520,1065,4815,38,3208,16820,710032,16515,494179,176089,20075,36292,62684,40107,64986,27989,3998,3232,38023,51045,494859,55108,577242,213555
G39008,728116,643350,43772,1584,14326,436,5450,19198,702838,25278,481122,153199,21185,34147,64501,41586,74361,33687,4895,4424,41019,47724,497943,58060,576719,208693
G39009,709760,526002,115071,2790,11009,197,20527,34164,628716,81044,483082,133390,24722,36381,75058,43053,68319,27804,7389,3557,62244,78936,402515,43718,569994,210779
G39010,721945,553170,121667,1470,16423,231,5657,23327,701619,20326,491453,118188,18755,38835,77140,47137,83924,46594,8279,6930,51254,61874,459463,52467,582299,221927
G39011,693817,272696,370336,1905,17743,134,8988,22015,664006,29811,469433,117714,19059,31246,76222,35663,69928,36104,13212,7332,87438,89592,355978,36851,559043,223793
G39012,770907,672086,35627,1245,33326,139,4338,24146,751705,19202,523387,121295,14951,32896,63756,39593,136009,57903,12788,8892,30643,39591,584844,73376,609693,204010
G39013,710422,588311,81664,1700,13251,104,4035,21357,687183,23239,492078,169888,20249,32637,68852,39072,72910,28908,5824,4460,55125,66142,422183,45087,584576,227080
G39014,717865,651374,32753,1061,15120,141,3587,13829,697219,20646,507981,137783,13164,34778,63769,41388,109035,49625,11571,7043,27703,31814,550417,67937,582953,210159
G39015,754510,681505,31768,1242,17917,174,3593,18311,738215,16295,517415,148708,18480,34334,63398,41445,101233,44362,10519,7771,41496,45105,521967,63542,609539,228768
G39016,722281,672153,16134,1479,15846,219,3526,12924,705556,16725,510499,140927,14395,36662,67997,44305,109712,46228,10965,5959,20071,31501,564387,66805,587706,204407
G40001,797151,569214,69168,45677,23044,653,26594,62801,707811,89340,525789,120539,21401,39319,85923,45369,107702,35231,9839,5183,50002,63552,520396,54859,617288,211064
G40002,748286,497317,25537,128467,4745,1128,11814,79278,709303,38983,505393,157719,31393,36532,76812,41319,58016,21364,3640,2760,56359,84740,403459,42319,593026,278277
G40003,776845,616288,29590,45915,11172,928,26463,46489,699716,77129,504863,146688,27289,36956,80712,38255,77423,26826,4490,5135,52217,63158,475557,51611,608591,242647
G40004,783867,595574,52666,40082,18660,935,14544,61406,715896,67971,509301,136986,26244,41174,87383,37520,82835,33544,6210,5703,47446,53078,506500,56380,619540,230237
G40005,811988,559379,110998,34535,25771,827,27342,53136,677890,134098,528655,115280,22868,37752,84270,36440,102853,40942,12106,6268,57994,79264,490532,51669,624951,222865
G41001,832139,666048,14489,5737,65055,3155,36250,41405,710197,121942,575609,88903,20985,41013,89969,49036,146862,63398,13859,13496,35909,47700,616079,73956,665263,221223
G41002,805737,726829,5197,15653,8659,1858,19193,28348,695418,110319,567499,126310,28858,50833,106440,51468,88626,36378,9399,5744,48725,73779,494178,51574,650252,276782
G41003,830995,653189,42383,7698,58988,5140,20194,43403,737868,93127,597480,91340,22064,41424,98096,48128,149795,64302,18109,9863,55491,65166,559258,64361,683245,214803
G41004,794776,703179,6401,9271,19723,1410,16585,38207,732448,62328,552536,115424,27574,51594,107387,52578,88876,39272,9197,9719,65295,72763,477075,49031,663067,290219
G41005,818296,696688,9319,8602,22085,4443,34862,42297,682056,136240,557569,108645,26262,47665,98056,48642,108985,44140,11448,6349,44520,55899,555753,62502,651547,249312
G42001,709207,614591,29268,1164,41173,157,8676,14178,672332,36875,503704,132521,11317,25896,56738,39990,122942,60974,12339,9207,19894,22287,588279,85251,580163,186629
G42002,734861,365920,202216,3324,56635,419,81987,24360,549415,185446,482319,158083,22644,26224,52199,30247,65752,23641,5112,3203,75837,104461,381581,42666,569679,223266
G42003,722979,233164,414713,2269,42467,334,9469,20563,689511,33468,499452,122092,17018,21299,63522,25537,100950,55837,20797,12755,88395,82977,388903,45084,601946,238299
G42004,724647,580889,68295,915,46804,247,9380,18117,689325,35322,509697,114729,11612,25177,51156,36055,137030,73210,18401,12702,20479,23823,591709,87310,585209,185956
G42005,714120,467361,172478,1259,47681,214,7921,17206,683271,30849,485622,136305,13257,25219,53373,34443,100473,52629,15255,10639,41542,43926,503555,66393,574079,205639
G42006,725593,594181,46536,3075,29869,135,21016,30781,616382,109211,486491,109347,12321,22181,48883,32764,129376,61861,12570,10648,32679,39378,547963,81257,573937,185564
G42007,722048,589403,49021,2175,22512,261,33725,24951,590469,131579,496283,148784,18630,28586,57860,45780,89292,40490,7928,6405,32998,45182,509419,64239,585928,209789
G42008,695547,608573,41690,1308,12291,303,16570,14812,620171,75376,494692,165792,20897,32270,59054,44797,77462,34221,6306,4621,43179,51843,459097,53515,575370,232606
G42009,705114,649918,18741,1150,7802,214,16759,10530,660909,44205,499172,192015,24928,29493,49132,44074,65803,28729,5722,3595,34461,38065,480072,57267,580326,227950
G42010,727144,583059,81879,1286,25885,173,12978,21884,668864,58280,504285,154426,20432,28589,52477,44399,98998,41669,10870,5534,36094,40506,514737,62720,586816,204286
G42011,728820,655829,27689,1172,13542,253,16286,14049,667327,61493,496359,160760,23986,27399,48843,38249,82427,34491,6893,4385,28095,37608,532898,65019,577782,194422
G42012,701191,657555,16081,1167,12173,170,4209,9836,684639,16552,473455,178314,24412,24933,45301,40871,64559,29508,5423,8071,43550,49893,440630,53067,579641,242824
G42013,698730,655201,19499,638,4487,108,5535,13262,676692,22038,497736,199139,25414,29519,47637,42496,60815,27797,5310,3996,34499,48971,465497,53076,574497,233452
G42014,691459,649074,20935,561,5695,441,1611,13142,682349,9110,502200,181485,19852,28705,50651,50949,85979,35580,6222,4654,32398,44415,487124,57045,575316,234569
G42015,685714,655399,13908,874,4769,117,1932,8715,675487,10227,490370,202379,25226,26805,44500,46656,62049,26401,4366,4949,36679,48813,437930,49714,571694,245871
G42016,692426,631046,32288,976,7687,137,4086,16206,675171,17255,480688,169118,22413,27504,47806,42496,83088,35680,6101,4721,38768,53718,448872,52340,565871,227518
G42017,711725,630059,41986,568,19645,176,3295,15996,700663,11062,521829,132726,15165,28758,54977,53174,127560,58349,14836,9588,24711,31058,556788,66495,584659,201247
G42018,699856,520220,126096,966,26775,248,3259,22292,683048,16808,497009,126580,19536,28850,55267,48613,107150,53476,13450,11495,51414,56353,453256,51380,589593,215773
G44001,532760,410105,47410,2999,18201,660,34574,18811,438766,93994,367057,84303,17595,20373,43986,27688,71668,34541,8423,7240,32105,45190,349369,58290,437466,156672
G44002,523851,444397,21844,2485,17462,203,23562,13898,458987,64864,366131,88484,16625,21841,46887,33448,73927,35289,7228,5648,24030,31730,378635,68294,435903,150700
G45001,766664,573591,143183,2064,14345,549,13737,19195,717625,49039,537624,106655,17295,31481,80859,51551,133593,55556,14662,8369,35735,42575,561522,67068,618989,220728
G45002,707819,494235,168723,2014,13428,701,10998,17720,667630,40189,477002,107902,19391,27489,72827,43839,99000,43327,9179,7214,41319,48462,474720,58931,563789,199541
G45003,684952,526020,125522,1687,6206,237,10897,14383,650901,34051,466302,118435,29289,29498,62782,48529,63169,27410,4807,5409,51155,62509,403311,46444,553120,236470
G45004,718032,531158,135781,2027,18036,406,14213,16411,659202,58830,485074,103429,22335,31312,67382,46605,95762,41247,8414,5800,42240,51761,462229,53725,570280,210364
G45005,706085,480271,188847,2800,8422,185,8985,16575,674918,31167,480780,130108,23157,30470,69305,47135,74939,30452,4758,3099,47485,61374,444249,50428,560994,223231
G45006,662894,254289,374651,1924,7651,589,9612,14178,630517,32377,433712,129834,18851,21511,66190,39155,53932,24408,4182,3021,71951,81171,309938,36835,538636,229477
G45007,709479,473422,202653,4170,6996,337,10155,11746,679447,30032,504508,150974,20804,30402,76996,47632,68570,28413,5049,4082,56367,76528,403972,44253,579375,253389
G46000,864289,730062,16241,75331,12660,293,6613,23089,832294,31995,567083,147729,25533,36032,84293,65075,112426,34166,8813,6072,52226,60918,576738,56499,673638,211888
G47001,713768,669441,16506,1909,5302,403,6632,13575,687306,26462,509200,150226,39590,33291,69909,36259,62963,26288,6349,5167,50929,74556,402916,42052,588184,263115
G47002,738722,658126,45580,2100,11930,404,6483,14099,708839,29883,506174,125536,26397,32680,71514,39533,94176,39522,11155,9453,48213,58917,478269,52741,602753,234594
G47003,726454,617394,77965,1906,9511,287,5226,14165,697316,29138,513791,138219,34477,33840,73805,41002,75618,32061,7447,4944,46474,65027,449277,48198,592053,251031
G47004,769786,651679,68946,2085,13018,233,11543,22282,720840,48946,511191,142367,35045,34330,72307,39376,79157,28159,6314,4431,46633,64444,488977,53160,610199,224926
G47005,765122,511667,189786,1923,24453,452,17605,19236,692807,72315,525661,107040,21698,26815,74971,33990,125129,49193,14381,9866,49793,69700,483276,56053,616660,186230
G47006,759176,692867,33555,2287,7032,517,8198,14720,726518,32658,523361,154634,37521,38245,70285,37829,76511,28655,5790,4248,43150,55073,495799,52980,607026,241994
G47007,764797,644558,77854,2435,15049,986,5059,18856,726028,38769,506719,130185,29917,31045,70646,36937,95752,39360,8281,5691,41809,57585,506838,56857,595932,237742
G47008,708031,530759,140429,1918,14830,286,6129,13680,685133,22898,482772,126319,27717,30974,69040,31872,86357,38245,10152,6572,41530,53946,473376,57726,563503,229256
G47009,705233,189740,466868,1285,11790,238,23791,11521,653900,51333,451837,123675,17285,26164,82748,27130,66636,30378,6989,4661,82561,96168,349070,39903,545547,195571
G48001,718215,554071,126380,3383,9078,489,12109,12705,593400,124815,467913,111855,25649,33337,85215,37483,65958,22615,5173,3435,53209,68622,411925,49465,561060,236635
G48002,785386,528895,93017,2946,60012,881,78936,20699,536903,248483,525008,86511,15940,28793,80481,37486,137955,55861,14007,9257,36177,49338,573745,78481,613662,186046
G48003,842866,579850,80405,4046,130808,624,20055,27078,718663,124203,553031,65401,9392,27975,78536,40538,188697,83685,15492,9946,26938,28584,697075,94366,647983,188964
G48004,738929,599689,76865,5366,8638,406,28500,19465,636044,102885,495791,130874,30354,38841,83720,38151,73213,26751,4374,3673,41616,60800,471657,54404,577536,234715
G48005,744338,562253,114747,3929,15367,389,30046,17607,533522,210816,483540,115788,29801,35045,76894,33147,65217,25700,4992,2836,41668,71805,431811,51869,570215,222122
G48006,773108,506252,161530,4719,38301,1379,33921,27006,596425,176683,495092,101285,20201,37937,87150,43114,98655,37497,5879,5075,33668,49677,551784,68263,596170,188956
G48007,785024,523618,106670,2119,85053,179,45899,21486,540111,244913,519931,72126,9649,22098,71747,31543,152761,67557,22995,12744,41797,52278,565477,75170,603566,180442
G48008,832589,689018,70085,3950,24536,476,22508,22016,646025,186564,544313,109724,31673,37163,86663,38527,112949,41466,8112,6494,37490,52676,577392,70669,645015,252026
G48009,781992,286485,293876,1813,92427,542,93019,13830,475029,306963,493570,113675,15903,19793,84642,29832,78047,31019,6535,6289,65831,86361,426820,48091,598192,189605
G48010,839780,609779,91590,4154,49049,300,60982,23926,601710,238070,555643,104905,17005,34296,79141,38035,145143,55667,11081,9465,31976,47972,617881,75663,646042,204185
G48011,764038,662771,30134,4172,8618,283,41135,16925,471195,292843,493723,119136,31543,35942,81884,33866,73586,22578,5201,3223,39250,56292,501808,56714,590353,225149
G48012,793259,627820,69732,4695,28262,1195,36723,24832,609914,183345,521098,112600,23584,38809,83022,40432,108879,39299,8115,5867,37653,47676,562853,67078,617145,206665
G48013,710847,604490,39125,5387,14784,579,23526,22956,519211,191636,462945,108473,32034,36155,79180,36643,65968,21389,4471,3005,39375,61259,429882,52057,552535,209394
G48014,747166,534478,147428,3283,22921,364,20902,17790,560716,186450,496893,115888,28956,34051,86173,41487,80394,26751,6575,5646,46663,57348,483861,60706,585676,234300
G48015,776971,655138,15052,2133,8124,575,83701,12248,142901,634070,450599,93740,20256,25294,62500,24948,62876,20639,3652,2424,94219,112506,364279,44590,560669,228611
G48016,737368,594912,28409,3933,9869,1154,79055,20036,143831,593537,451281,80171,24672,26953,81096,35795,74185,27680,5818,3208,54646,90975,391592,46212,558313,210626
G48017,764593,576541,98722,3682,38404,408,25623,21213,566619,197974,470535,97774,21988,29895,72934,38526,90794,34850,6782,11206,66704,64612,453939,53336,607750,225258
G48018,776383,373783,284492,2536,30604,961,68884,15123,445632,330751,487650,112424,21247,23793,78113,28542,70963,27564,7075,4476,70809,96257,394214,46379,592598,206291
G48019,725504,598151,45610,6447,11022,357,44059,19858,458154,267350,446664,103251,29109,32105,73518,28590,65744,24329,4913,4817,54410,63466,412055,49812,563849,216942
G48020,798543,657125,42782,7031,24367,1328,42169,23741,245185,553358,496946,106710,23996,32712,80124,39944,80099,31012,5683,4375,59040,83797,466437,52104,614783,212190
G48021,795908,682249,30414,3744,28707,472,24868,25454,559734,236174,551056,86798,15896,32362,87028,38553,159936,63934,17391,11319,46676,39817,582866,69797,653771,223916
G48022,880197,534058,121702,3396,162471,150,33026,25394,655184,225013,562708,84452,15116,28407,84030,42559,157120,71775,14172,13600,32323,36438,709464,95463,663217,216951
G48023,760106,632889,26463,5672,11909,316,67858,14999,232718,527388,470338,97941,26394,30759,66601,32415,66122,26557,6982,3097,48128,81334,440294,54015,571870,230355
G48024,789219,509541,93245,3769,108652,2156,45507,26349,596091,193128,541434,81369,12786,27951,82473,37526,160061,68878,12888,6778,24955,41150,594637,73454,624326,163169
G48025,768407,635522,58032,4004,23822,2152,17379,27496,625133,143274,508531,92692,22169,34576,81293,36395,121711,49501,13100,8527,35518,43057,535918,70199,603019,222496
G48026,848154,662700,68317,4219,55394,473,26640,30411,693869,154285,542533,82927,16958,37367,85079,42855,160467,60507,9465,7168,30306,31458,677854,89458,645593,178539
G48027,737102,631666,37554,2751,11919,431,37130,15651,348328,388774,481871,122111,24894,34328,80561,37624,62865,23301,4854,4077,45219,68695,451967,54353,573148,220500
G48028,750331,660113,32730,1393,8252,262,33192,14389,167866,582465,438961,102862,19534,26664,57285,29783,55354,20691,3060,2306,79900,103367,379244,47834,543334,219438
G48029,745389,562701,81741,4077,13215,401,73216,10038,166601,578788,435487,106600,20801,19765,53637,21232,31127,9772,1788,1321,66080,109397,354345,43626,538737,189280
G48030,776026,376085,333007,2236,14866,357,33259,16216,472039,303987,479582,114402,18759,26060,83145,27870,64615,24654,5221,2950,70855,98265,404041,46787,579765,209824
G48031,829808,625171,96375,3557,42159,2260,24153,36133,627625,202183,532937,96793,23272,40371,92747,48881,124417,49513,8761,5926,34664,42758,612865,71039,633412,203340
G48032,764700,525410,100693,2701,66632,262,43399,25603,561441,203259,514147,75548,12248,26301,73715,32373,141421,56795,20158,7302,34738,51834,542475,72815,604015,174812
G48033,736783,483934,116213,3234,16500,415,102102,14385,244839,491944,426619,105595,19429,19254,47317,17993,30462,9585,1588,979,66611,111049,315368,41063,531272,183013
G48034,722603,665915,9279,1838,4536,143,32998,7894,113044,609559,428591,98606,22315,19811,58713,26954,47662,14878,3082,2036,89615,111837,320539,38824,531996,241954
G48035,806895,598961,75214,5533,13688,348,89856,23295,308739,498156,504673,119935,26362,34652,76877,32774,72277,25004,4079,3289,70890,93105,427503,48318,619704,207604
G48036,736668,608655,68153,4213,15291,205,23899,16252,549198,187470,483725,129975,28079,37002,82676,38634,62136,21765,3806,3158,43024,55435,486709,60468,573829,231476
G49001,751772,675526,8452,7593,10523,2670,24469,22539,655631,96141,434562,97964,14173,37949,81127,40241,88310,31245,5478,4984,31752,42156,540333,68431,542396,174095
G49002,752756,622538,9233,8410,19396,8836,62019,22324,635169,117587,465730,96504,14035,36244,79324,44489,93860,37593,10507,8419,41352,50881,499799,61310,568581,197024
G49003,749828,681774,4921,10649,14139,5538,12186,20621,670745,79083,408675,60361,8590,29310,77231,40693,111075,41274,9383,7799,36202,43190,530670,71756,546418,175548
G49004,790994,652218,13256,6005,25752,10052,59316,24395,661682,129312,473098,100883,14814,37640,86130,48343,97992,34033,6710,3998,28533,35838,583661,72648,566858,162648
G50000,624977,589546,8058,2106,10579,184,2426,12078,613300,11677,439695,112989,15183,23545,53652,37513,97034,47484,11287,8301,29658,37376,434221,60076,521723,178555
G51001,785774,571990,129096,2830,25209,550,23579,32520,710523,75251,527408,116655,17714,35421,76408,42409,116862,60628,8015,7010,25085,27537,626935,86340,619591,203528
G51002,738568,498567,146724,2316,41058,733,14278,34892,679790,58778,494819,94582,18516,37058,85659,49241,104970,49622,9707,6885,31606,33870,534156,69721,596126,186917
G51003,738833,330952,341156,2558,19693,744,14032,29698,692525,46308,485445,111966,22992,33432,90813,43976,78508,37434,7459,5180,55657,58016,466006,54226,588444,198802
G51004,765419,400897,315022,2535,13614,481,9295,23575,724428,40991,524977,118286,29411,35827,79204,40812,95249,42461,9453,5908,57704,56142,492221,57062,621317,227842
G51005,734216,550656,143207,1410,13438,180,7457,17868,706469,27747,517222,125226,29796,35887,70309,39681,83039,42144,9930,9340,46159,54242,473135,54239,605503,252461
G51006,750774,624339,83186,1595,14159,218,6923,20354,710472,40302,506735,136710,27284,36010,61966,41695,85506,36987,8906,7627,47686,54031,478004,53804,615985,240698
G51007,777354,552098,140075,2221,39780,403,17140,25637,720947,56407,533672,109146,21121,32163,74093,38737,128953,59450,12646,8303,26988,34194,603466,77047,617316,203246
G51008,792945,503985,112918,1829,91203,537,46665,35808,641708,151237,567627,62155,8001,18613,49228,27995,169929,125371,35129,20097,28133,36592,636812,106421,641124,154341
G51009,711468,646502,38840,1346,10100,227,3647,10806,695618,15850,499567,133190,32247,36336,65736,46225,61791,28372,5234,7434,62428,65186,408885,43426,595726,283978
G51010,826914,585512,58269,2058,120691,663,22327,37394,715913,111001,543325,74699,11803,23840,56058,34743,164546,104301,19181,13302,17850,21334,713388,124627,631880,180333
G51011,791509,457162,104792,2274,142558,941,43121,40661,644204,147305,529555,72210,7370,21847,56711,31456,155136,105828,18490,14540,26673,26467,649269,110462,623207,173167
G53001,742135,583213,9457,8764,81987,1586,22520,34608,676489,65646,516666,84409,15572,34848,77904,49049,142024,60958,11238,9614,25525,26053,609790,95296,587529,195601
G53002,730430,563575,22381,8520,64342,4190,23343,44079,650470,79960,502463,97674,20048,42738,88760,54161,105088,39438,8428,5899,38881,40500,530495,68114,596022,207737
G53003,719101,621741,9602,6192,23879,4234,18134,35319,651573,67528,492869,106707,22239,47962,90498,54735,81819,33241,6720,4333,35906,44606,507595,63926,570102,225817
G53004,719814,549137,9158,18935,11040,611,103156,27777,439621,280193,444587,94070,25281,36079,65542,40862,57345,24292,5041,4505,44460,68782,426528,56028,532681,202217
G53005,705266,618398,10528,11987,17155,2866,12688,31644,659130,46136,473107,92315,21987,39179,85923,59396,87145,36950,9345,6755,46919,56090,443503,52942,570993,233790
G53006,698764,569583,24321,13606,29611,3957,12363,45323,645848,52916,501324,102480,21295,41672,95428,52501,92961,40530,10088,6066,38414,44598,491283,62502,576778,242475
G53007,768042,564521,32697,4156,92687,3495,21115,49371,709109,58933,569711,52154,9901,24425,70177,40592,200450,95654,27745,20535,38921,37245,600408,86312,657166,184602
G53008,737080,567895,20514,6930,65681,4200,30253,41607,652207,84873,492553,99890,18463,38726,74471,48939,109836,45948,8083,5724,29630,34998,574471,83593,574216,192424
G53009,738464,370763,84821,5235,172756,10296,45073,49520,647403,91061,518429,84010,14683,27557,72663,44984,136696,59648,14265,10039,37015,46796,539981,78578,598234,189099
G53010,735240,537171,46375,10723,48291,12608,22525,57547,650913,84327,490234,104091,21747,42602,86342,56230,91257,34751,8300,4507,41435,44847,514124,64796,579434,208357
G54001,614325,579158,15485,1156,6282,150,2056,10038,605920,8405,428642,143855,25808,26324,55156,32600,58859,28544,6470,5396,46933,52379,371520,47158,509314,226431
G54002,623350,571511,29142,1326,5180,84,3235,12872,610448,12902,442224,147742,29370,27413,54380,31250,57551,27444,5792,3796,37999,55306,396784,50183,506080,219004
G54003,591379,553676,22101,1186,3072,116,1999,9229,585164,6215,421218,144827,31934,23380,53940,28125,41622,19739,3951,2586,50937,71910,316587,38191,483850,256386
G55001,717432,627723,40385,3169,13020,178,14310,18647,647266,70166,493472,133534,18921,37698,72767,50058,92949,36650,5966,4622,29975,39586,529402,65354,572954,191293
G55002,754999,648749,33959,2730,32951,245,14283,22082,706758,48241,501306,103572,14392,27506,64927,51760,127935,54082,13680,13932,41664,45427,548745,66415,610216,176591
G55003,719855,672488,8088,3951,16196,479,6168,12485,701068,18787,474068,141025,17161,33271,65725,59785,79743,29431,6379,5307,38807,49697,476928,54960,584814,203187
G55004,713066,363383,240961,3777,29751,277,47737,27180,591487,121579,452405,110695,18646,25670,71823,33207,78323,34231,8163,5355,71376,95745,373066,43061,551483,193092
G55005,723040,659144,17178,2300,21152,232,8858,14176,681912,41128,508769,122746,14417,32902,71320,50038,125799,45816,11335,6288,22471,27784,575755,70304,587275,186186
G55006,713439,660592,12658,3057,17676,154,6728,12574,681331,32108,497041,151159,20744,35012,69406,53965,87985,29337,7166,3905,29052,35942,512679,59455,579131,199299
G55007,708307,660964,5347,13776,11710,300,3290,12920,692115,16192,502595,158169,18375,37843,68680,62729,78282,27368,6906,3462,28324,44099,492908,55016,572307,208132
G55008,728256,652923,10168,17662,16900,110,14567,15926,690678,37578,501233,156639,16375,34638,65240,60685,91194,28936,6763,3200,27241,41030,526334,60166,581267,189337
G56000,581836,532008,5540,14053,4756,539,9361,15579,524870,56966,389291,91927,19972,32098,70138,42835,67697,26978,5489,4513,27728,35583,411396,62268,458979,151494
G72098,3386941,2283720,365010,8504,6684,303,547254,175466,37601,3349340,2364398,599597,60073,36342,255778,235051,428310,117015,28907,25096,823263,671897,917145,20166,2793000,1552967
